"Version 2.0:  Dieter, C.A., Linsey, K.S., Caldwell, R.R., Harris, M.A., Ivahnenko, T.I., Lovelace, J.K., Maupin, M.A., and Barber, N.L., 2018, Estimated use of water in the United States county-level data for 2015 (ver. 2.0, June 2018): U.S. Geological Survey data release, https://doi.org/10.5066/F7TB15V5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial,thermo_ground,thermo_surface
ME,23,Cumberland County,5,23005,2015,289.977,32.245,138.396,170.641,4.3,0,4.3,21.05,0,21.05,25.35,0,25.35,119.336,7.46,0,7.46,63,11.25,66,18.71,0.24,0,0.24,11.19,0,11.19,11.43,0,11.43,0.17,0.88,1.05,--,1,1.67,0,0.14,1.81,0.11,0.24,0.35,--,0.33,0.54,0,0.14,0.68,0.06,0.64,0.7,--,0.67,1.13,0,0,1.13,0.06,0.02,0.08,0,0,0,6.8,0,6.8,6.8,0,6.8,0.21,0,0.21,0.61,0,0.61,0.82,0,0.82,0,0,0,0,62.8,62.8,0,62.8,62.8,--,1.46,0.95,0.63,1.58,2411.92,0,0,0,0,62.8,62.8,0,62.8,62.8,--,--,0,0.63,0.63,485.69,0,0,0,0,0,0,0,0,0,--,1.46,0.95,0,0.95,1926.23,12.44,0,12.44,40.55,62.8,103.35,52.99,62.8,115.79,1.95,0.63,2.58,0,0
ME,23,Franklin County,7,23007,2015,29.991,8.56,4.733,13.293,0.74,0,0.74,0.62,0,0.62,1.36,0,1.36,16.698,0.71,0,0.71,43,0.68,51,1.39,0.5,0,0.5,34.74,0,34.74,35.24,0,35.24,0,0.14,0.14,--,0.13,0.28,0,0.01,0.29,0,0.02,0.02,--,0.02,0.05,0,0.01,0.06,0,0.12,0.12,--,0.11,0.23,0,0,0.23,0.06,0.01,0.07,0,0,0,4.7,0,4.7,4.7,0,4.7,0.06,0,0.06,0.11,0,0.11,0.17,0,0.17,0.57,0,0.57,0,0,0,0.57,0,0.57,--,0,0.36,0,0.36,278.76,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0,0.57,--,0,0.36,0,0.36,278.76,2.64,0,2.64,40.32,0,40.32,42.96,0,42.96,0.49,0,0.49,1.14,0
ME,23,Hancock County,9,23009,2015,54.659,4.283,14.037,18.32,0.29,0,0.29,6.4,0,6.4,6.69,0,6.69,36.339,1.27,0,1.27,35,0.69,38,1.96,0.01,0,0.01,3.67,32.6,36.27,3.68,32.6,36.28,0.09,1.07,1.16,--,1.1,1.83,0,0.1,1.93,0.09,0.82,0.91,--,0.86,1.46,0,0.1,1.56,0,0.25,0.25,--,0.24,0.37,0,0,0.37,0.01,0.01,0.02,0,0,0,9.8,0.4,10.2,9.8,0.4,10.2,0.08,0,0.08,0.37,0,0.37,0.45,0,0.45,0,0,0,0,17.59,17.59,0,17.59,17.59,--,0,0,0.18,0.18,87.55,0,0,0,0,17.59,17.59,0,17.59,17.59,--,--,0,0.18,0.18,87.55,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,1.75,0,1.75,21.32,50.59,71.91,23.07,50.59,73.66,1.1,0.18,1.28,0,0
ME,23,Kennebec County,11,23011,2015,119.98,27.028,27.223,54.251,3.4,0,3.4,2.75,0,2.75,6.15,0,6.15,65.729,3.22,0,3.22,49,2.73,50,5.95,0.23,0,0.23,0.18,0,0.18,0.41,0,0.41,0.11,0.36,0.47,--,0.45,0.9,0,0.01,0.91,0.02,0.18,0.2,--,0.2,0.41,0,0.01,0.42,0.09,0.18,0.27,--,0.25,0.49,0,0,0.49,0.31,0.1,0.41,1.2,0,1.2,0,0,0,1.2,0,1.2,0.1,0,0.1,0.35,0,0.35,0.45,0,0.45,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,8.57,0,8.57,3.74,0,3.74,12.31,0,12.31,0.45,0,0.45,0,0
ME,23,Knox County,13,23013,2015,39.855,1.791,22.278,24.069,0.17,0,0.17,2.85,0,2.85,3.02,0,3.02,15.786,0.46,0,0.46,29,0.85,35,1.31,0.01,0,0.01,0.2,10.3,10.5,0.21,10.3,10.51,0.07,0.28,0.35,--,0.33,0.51,0,0.01,0.52,0.02,0.17,0.19,--,0.18,0.28,0,0.01,0.29,0.05,0.11,0.16,--,0.15,0.23,0,0,0.23,0.02,0.01,0.03,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.34,0,0.34,0.38,0,0.38,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0.77,0,0.77,3.68,10.3,13.98,4.45,10.3,14.75,0.33,0,0.33,0,0
ME,23,Lincoln County,15,23015,2015,33.969,4.272,6.711,10.983,0.11,0,0.11,0.62,0,0.62,0.73,0,0.73,22.986,0.78,0,0.78,34,0.41,37,1.19,0.04,0,0.04,0.17,0,0.17,0.21,0,0.21,0.01,0.11,0.12,--,0.12,0.19,0,0.02,0.21,0.01,0.06,0.07,--,0.07,0.11,0,0.02,0.13,0,0.05,0.05,--,0.05,0.08,0,0,0.08,0.03,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0.97,0,0.97,0.93,0,0.93,1.9,0,1.9,0.12,0,0.12,0,0
ME,23,Oxford County,17,23017,2015,57.202,17.895,0.863,18.758,2.75,0,2.75,0.1,0,0.1,2.85,0,2.85,38.444,2.01,0,2.01,52,1.02,54,3.03,0.95,0,0.95,34.06,0,34.06,35.01,0,35.01,0.08,0.29,0.37,--,0.35,0.68,0,0.03,0.71,0.02,0.18,0.2,--,0.19,0.38,0,0.03,0.41,0.06,0.11,0.17,--,0.16,0.3,0,0,0.3,0.05,0.02,0.07,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.2,0,0.2,0.24,0,0.24,0,0,0,2.8,0,2.8,2.8,0,2.8,--,0.01,2,0,2,802.21,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,2.8,0,2.8,2.8,0,2.8,--,0.01,2,0,2,802.21,5.88,0,5.88,37.47,0,37.47,43.35,0,43.35,2.35,0,2.35,0,5.6
ME,23,Penobscot County,19,23019,2015,152.692,23.263,48.178,71.441,3.1,0,3.1,1.69,0,1.69,4.79,0,4.79,81.251,3.36,0,3.36,41,3.49,49,6.85,0.31,0,0.31,12.3,0,12.3,12.61,0,12.61,0.11,1.33,1.44,--,1.37,2.87,0,0.05,2.92,0.11,0.97,1.08,--,1.03,2.29,0,0.05,2.34,0,0.36,0.36,--,0.34,0.58,0,0,0.58,0.23,0.07,0.3,0,0,0,4.7,0,4.7,4.7,0,4.7,0.02,0,0.02,0.44,0,0.44,0.46,0,0.46,0,0,0,0.37,0.27,0.64,0.37,0.27,0.64,--,0,0.25,0.19,0.44,466.58,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0.37,0.27,0.64,0.37,0.27,0.64,--,0,0.25,0.19,0.44,466.58,7.13,0,7.13,20.9,0.27,21.17,28.03,0.27,28.3,1.62,0.19,1.81,0,0.74
ME,23,Piscataquis County,21,23021,2015,16.931,4.172,4.095,8.267,0.5,0,0.5,0.38,0,0.38,0.88,0,0.88,8.664,0.29,0,0.29,33,0.3,36,0.59,0.1,0,0.1,0.07,0,0.07,0.17,0,0.17,0.02,0.11,0.13,--,0.13,0.28,0,0,0.28,0.01,0.06,0.07,--,0.07,0.16,0,0,0.16,0.01,0.05,0.06,--,0.06,0.12,0,0,0.12,0.03,0.01,0.04,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.14,0,0.14,0.17,0,0.17,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0.97,0,0.97,0.71,0,0.71,1.68,0,1.68,0.13,0,0.13,0,0
ME,23,Sagadahoc County,23,23023,2015,35.149,8.658,9.338,17.996,0.26,0,0.26,1.15,0,1.15,1.41,0,1.41,17.153,0.84,0,0.84,49,0.6,33,1.44,0.01,0,0.01,0.06,0,0.06,0.07,0,0.07,0.01,0.17,0.18,--,0.18,0.29,0,0.05,0.34,0,0.09,0.09,--,0.09,0.14,0,0.05,0.19,0.01,0.08,0.09,--,0.09,0.15,0,0,0.15,0.02,0.01,0.03,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,1.29,0,1.29,1.39,0,1.39,2.68,0,2.68,0.18,0,0.18,0,0
ME,23,Somerset County,25,23025,2015,51.113,8.176,14.742,22.918,0.79,0,0.79,1.03,0,1.03,1.82,0,1.82,28.195,1.03,0,1.03,37,0.73,32,1.76,0.26,0,0.26,36.44,0,36.44,36.7,0,36.7,0.01,0.13,0.14,--,0.13,0.32,0,0.03,0.35,0.01,0.07,0.08,--,0.07,0.17,0,0.03,0.2,0,0.06,0.06,--,0.06,0.15,0,0,0.15,0.22,0.07,0.29,8.9,0,8.9,4.7,0,4.7,13.6,0,13.6,0.03,0,0.03,0.09,0,0.09,0.12,0,0.12,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,11.24,0,11.24,42.46,0,42.46,53.7,0,53.7,0.13,0,0.13,0,0
ME,23,Waldo County,27,23027,2015,39.155,9.427,0,9.427,0.99,0,0.99,0,0,0,0.99,0,0.99,29.728,1,0,1,34,0.37,39,1.37,0.28,0,0.28,0.1,0,0.1,0.38,0,0.38,0.03,0.2,0.23,--,0.21,0.43,0,0.03,0.46,0.01,0.09,0.1,--,0.09,0.21,0,0.03,0.24,0.02,0.11,0.13,--,0.12,0.22,0,0,0.22,0.13,0.05,0.18,0,0,0,2.1,0,2.1,2.1,0,2.1,0.05,0,0.05,0.19,0,0.19,0.24,0,0.24,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,2.48,0,2.48,2.64,0,2.64,5.12,0,5.12,0.21,0,0.21,0,0
ME,23,Washington County,29,23029,2015,31.625,9.446,1.9,11.346,1.38,0,1.38,0.19,0,0.19,1.57,0,1.57,20.279,1.07,0,1.07,53,0.58,51,1.65,0.39,0,0.39,26.98,0,26.98,27.37,0,27.37,3.67,3.7,7.37,--,7.02,15.1,0.05,0.03,15.18,3.67,3.67,7.34,--,6.99,15.05,0.05,0.03,15.13,0,0.03,0.03,--,0.03,0.05,0,0,0.05,0.01,0,0.01,0,0,0,9.9,0,9.9,9.9,0,9.9,0.01,0,0.01,0.1,0,0.1,0.11,0,0.11,0.35,0,0.35,0,0,0,0.35,0,0.35,--,0,0.25,0,0.25,125.81,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0.35,0,0.35,0,0,0,0.35,0,0.35,--,0,0.25,0,0.25,125.81,6.88,0,6.88,40.87,0,40.87,47.75,0,47.75,7.27,0,7.27,0.7,0
ME,23,York County,31,23031,2015,201.169,29.791,102.972,132.763,4.51,0,4.51,10.82,0,10.82,15.33,0,15.33,68.406,3.36,0,3.36,49,7.2,54,10.56,1.36,0,1.36,1.17,0,1.17,2.53,0,2.53,0.18,0.96,1.14,--,1.08,1.81,0,0.19,2,0.05,0.58,0.63,--,0.6,1.08,0,0.19,1.27,0.13,0.38,0.51,--,0.48,0.73,0,0,0.73,0.06,0.02,0.08,0.6,0,0.6,0,0,0,0.6,0,0.6,0.27,0,0.27,1.1,0,1.1,1.37,0,1.37,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,10.34,0,10.34,14.07,0,14.07,24.41,0,24.41,1.08,0,1.08,0,0
MA,25,Barnstable County,1,25001,2015,214.333,189.392,12.694,202.086,29.84,0,29.84,2,0,2,31.84,0,31.84,12.247,0.91,0,0.91,74,14.95,74,15.86,0.12,0,0.12,0.01,0,0.01,0.13,0,0.13,8.94,1.49,10.43,--,2.45,2.01,0.16,0.94,3.11,7.47,1.49,8.96,--,1.06,0.23,0.01,0.94,1.18,1.47,0,1.47,--,1.39,1.78,0.15,0,1.93,0,0,0,1.05,0,1.05,0,0,0,1.05,0,1.05,0.19,0,0.19,0.48,0,0.48,0.67,0,0.67,0,0,0,0,27.59,27.59,0,27.59,27.59,0,0,0,0.28,0.28,261.62,0,0,0,0,27.59,27.59,0,27.59,27.59,0,0,0,0.28,0.28,261.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.05,0,41.05,3.98,27.59,31.57,45.03,27.59,72.62,2.45,0.28,2.73,0,0
